date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-11-07,4,3-row,blade,3,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,3,1,0.9525,no lesion,no lesion,,
2018-10-17,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,6,1,1.27,no lesion,no lesion,,
2018-11-28,4,3-row,blade,6,1,1.27,no lesion,no lesion,,
2018-10-17,4,3-row,blade,7,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,7,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,7,2,2.8575,3.4925,no lesion,,
2018-10-17,4,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,8,1,11.43,no lesion,no lesion,,
2018-10-17,4,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,9,1,28.575,no lesion,no lesion,,
2018-10-17,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,1,1,2.54,no lesion,no lesion,,
2018-10-17,5,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
